"MAKE","MODEL","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"Eicher ","E-242","482916","444282","408740","376041","349718","328735","309011","290470","273042","256659","241260","226784","213177","200386","188363","131854","123943","116506","109516","102945"
"Eicher ","E-5660","682588","580200","504774","459344","418003","392923","369348","347187","326356","306774","288368","271066","254802","239514","225143","157600","148144","139255","130900","123046"
"Eicher ","E-551","714211","614221","534373","480935","432842","406871","382459","359511","337941","317664","298604","280688","263847","248016","233135","163195","153403","144199","135547","127414"
"Eicher ","EIC557_4WD","838761","712947","620264","564440","513640","482822","453853","426622","401024","376963","354345","333084","313099","294313","276655","193658","182039","171116","160849","151198"
"Eicher ","EIC650_4WD","857459","771713","702259","646078","600853","564801","530913","499059","469115","440968","414510","389639","366261","344285","323628","226540","212947","200171","188160","176871"
"Eicher ","EIC - 650","811315","697731","607026","552394","502678","472518","444167","417517","392466","368918","346783","325976","306417","288032","270750","254505","239235","224881","211388","198705"
"Escorts ","FARMTRAC 40","530888","488417","449344","413397","384459","361391","339708","319325","300166","282156","265226","249313","234354","220293","207075","144953","136256","128080","120395","113172"
"Escorts ","FARMTRAC 45","715998","658718","606021","557539","518511","487401","458157","430667","404827","380538","357705","336243","316068","297104","279278","195495","183765","172739","162375","152632"
"Escorts ","FARMTRAC 6060","835107","718192","624827","562344","506110","475743","447199","420367","395145","371436","349150","328201","308509","289998","272598","190819","179370","168608","158491","148982"
"Escorts ","FT 6050","874129","751751","654023","588621","529759","497973","468095","440009","413609","388792","365465","343537","322925","303549","285336","199735","187751","176486","165897","155943"
"Escorts ","FT 6045 SM","582779","501190","436036","392432","353189","331997","312078","293353","275752","259207","243654","229035","215293","202375","190233","133163","125173","117663","110603","103967"
"Escorts ","FRAMTRAC CHAMPION ","596613","548884","504973","464576","432055","406132","381764","358858","337327","317087","298062","280178","263368","247565","232712","162898","153124","143937","135301","127182"
"Escorts ","FT 6045 LM","582779","501190","436036","392432","353189","331997","312078","293353","275752","259207","243654","229035","215293","202375","190233","133163","125173","117663","110603","103967"
"Escorts ","FRAMTRAC 44 ","566519","521198","479502","441142","410262","385646","362507","340757","320311","301093","283027","266046","250083","235078","220973","154681","145400","136676","128476","120767"
"Escorts ","FT-60 Powermaxx 4 WD","803244","682757","593999","540539","491891","462377","434634","408556","384043","361000","339340","318980","299841","281851","264940","185458","174330","163870","154038","144796"
"Escorts ","FT-6055 Powermaxx","778369","669398","582376","524138","471724","443421","416816","391807","368298","346200","325428","305903","287549","270296","254078","177855","167183","157152","147723","138860"
"Escorts ","FT-6055 Powermaxx 4 WD","808108","686892","597596","543812","494869","465177","437266","411030","386369","363186","341395","320912","301657","283557","266544","186581","175386","164863","154971","145673"
"Escorts ","FT70","593473","510386","444036","399633","359669","338089","317804","298736","280811","263963","248125","233237","219243","206089","193723","135606","127470","119822","112632","105875"
"John Deere","JD 5039","542492","466543","405892","365303","328773","309046","290504","273073","256689","241288","226810","213202","200410","188385","177082","123957","116520","109529","102957","96780"
"John Deere","JD 5038","505908","465435","428201","393944","366368","344386","323723","304300","286042","268879","252746","237582","223327","209927","197332","138132","129844","122054","114730","107846"
"John Deere","JD 5103","495615","455966","419489","385929","358914","337380","317137","298109","280222","263409","247604","232748","218783","205656","193317","135322","127202","119570","112396","105652"
"John Deere","JD 5045D MFWD","672885","571952","497598","452815","412061","387338","364097","342251","321716","302413","284269","267212","251180","236109","221942","155360","146038","137276","129039","121297"
"John Deere","JD 5104","495615","455966","419489","385929","358914","337380","317137","298109","280222","263409","247604","232748","218783","205656","193317","135322","127202","119570","112396","105652"
"John Deere","JD 5104 4WD","609498","560738","515879","474608","441386","414903","390008","366608","344612","323935","304499","286229","269055","252912","237737","166416","156431","147045","138222","129929"
"John Deere","JD 5050 E","661900","582472","512575","461318","424412","398947","375011","352510","331359","311478","292789","275222","258709","243186","228595","160016","150415","141390","132907","124933"
"John Deere","JD 5055 D","638664","587571","540565","497320","462507","434757","408672","384151","361102","339436","319070","299926","281930","265014","249113","174379","163917","154082","144837","136147"
"John Deere","JD 5204","553660","509367","468618","431128","400949","376892","354279","333022","313041","294258","276603","260007","244406","229742","215957","151170","142100","133574","125560","118026"
"John Deere","JD 5050 4WD","743508","654287","575773","518195","476740","448135","421247","395972","372214","349881","328888","309155","290606","273169","256779","179745","168961","158823","149294","140336"
"John Deere","JD 5310 4WD","938121","797403","693740","631304","574486","540017","507616","477159","448530","421618","396321","372542","350189","329178","309427","216599","203603","191387","179904","169109"
"John Deere","JD 5055 4WD","733462","645446","567993","511194","470298","442080","415555","390622","367185","345154","324444","304978","286679","269478","253310","177317","166678","156677","147276","138440"
"John Deere","JD 5036 ","544075","500549","460505","423665","394008","370368","348146","327257","307621","289164","271814","255505","240175","225765","212219","148553","139640","131262","123386","115983"
"John Deere","JD-5005 ","409956","360761","317470","285723","262865","247093","232268","218332","205232","192918","181343","170462","160234","150620","141583","99108","93162","87572","82318","77379"
"M&M","MAHINDRA 265 DI","570757","525097","483089","444442","413331","388531","365219","343306","322708","303345","285144","268036","251954","236836","222626","155838","146488","137699","129437","121671"
"M&M","MAHINDRA 295 DI","557194","512619","471609","433880","403509","379298","356540","335148","315039","296137","278369","261666","245966","231208","217336","152135","143007","134427","126361","118779"
